MAKEBLOCK_1B_0;107
MAKEBLOCK_1B_1;156
MAKEBLOCK_1B_2;176
MAKEBLOCK_1B_3;196
MAKEBLOCK_1B_4;216
MAKEBLOCK_1B_5;236
MAKEBLOCK_1B_6;256
MAKEBLOCK_1B_7;276
MAKEBLOCK_1B_8;296
MAKEBLOCK_1B_9;316
MAKEBLOCK_1B_10;336
MAKEBLOCK_1B_11;356
MAKEBLOCK_1B_12;376
MAKEBLOCK_1B_13;396
MAKEBLOCK_1B_14;416
MAKEBLOCK_1B_15;436
MAKEBLOCK_1B_16;456
MAKEBLOCK_2B_0;152
MAKEBLOCK_2B_1;198
MAKEBLOCK_2B_2;218
MAKEBLOCK_2B_3;238
MAKEBLOCK_2B_4;258
MAKEBLOCK_2B_5;278
MAKEBLOCK_2B_6;298
MAKEBLOCK_2B_7;318
MAKEBLOCK_2B_8;338
MAKEBLOCK_2B_9;358
MAKEBLOCK_2B_10;378
MAKEBLOCK_2B_11;398
MAKEBLOCK_2B_12;418
MAKEBLOCK_2B_13;438
MAKEBLOCK_2B_14;458
MAKEBLOCK_2B_15;478
MAKEBLOCK_2B_16;498
MAKEBLOCK1;80
MAKEBLOCK2;108
MAKEBLOCK3;-1
MAKEFLOATBLOCK;36
GETFIELD0;79
GETFIELD1;83
GETFIELD2;83
GETFIELD3;83
GETFIELD;111
GETFLOATFIELD;36
SETFIELD0;103
SETFIELD1;107
SETFIELD2;107
SETFIELD3;107
SETFIELD;135
SETFLOATFIELD;36
VECTLENGTH;146
GETVECTITEM;111
SETVECTITEM;127
GETSTRINGCHAR;90
SETSTRINGCHAR;99
BRANCH_1B;69
BRANCH_2B;130
BRANCH_4B;193
BRANCHIF_1B;82
BRANCHIF_2B;148
BRANCHIF_4B;211
BRANCHIFNOT_1B;83
BRANCHIFNOT_2B;148
BRANCHIFNOT_4B;211
SWITCH_1B;159
SWITCH_2B;228
SWITCH_4B;297
BOOLNOT;54
PUSHTRAP_1B;206
PUSHTRAP_2B;255
PUSHTRAP_4B;347
POPTRAP;46
RAISE;104
CHECK_SIGNALS;36
C_CALL1;-1
C_CALL2;-1
C_CALL3;-1
C_CALL4;-1
C_CALL5;-1
C_CALLN;-1
CONST0;48
CONST1;48
CONST2;48
CONST3;48
CONSTINT_1B;77
CONSTINT_2B;120
CONSTINT_4B;181
PUSHCONST0;80
PUSHCONST1;80
PUSHCONST2;80
PUSHCONST3;80
PUSHCONSTINT_1B;125
PUSHCONSTINT_2B;152
PUSHCONSTINT_4B;213
NEGINT;64
ADDINT;92
SUBINT;92
MULINT;-1
DIVINT;840
MODINT;840
ANDINT;77
